len_of_url,no_of_dots,security_sensitive_words,no_of_hyphens_in_dom,dir_len,no_of_subdir,domain_len,domain_token_count,path_token_count,ip_present,largest_domain_tok_len,avg_dom_token_len,largest_path_token_length,avg_path_token_length,suspicious tld,len_of_file,total_dots_in_file,total_delims_in_file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,Lable,URL
52.0,5.0,1.0,0.0,7.0,1.0,21.0,2.0,1.0,0.0,17.0,10.0,5.0,5.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://tarapropertiesllc.com/jumbo/LoginVerification.php...
66.0,5.0,0.0,0.0,33.0,4.0,13.0,2.0,4.0,0.0,9.0,6.0,10.0,7.0,0.0,11.0,1.0,0.0,9.0,1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=R...
56.0,9.0,1.0,0.0,17.0,3.0,26.0,6.0,3.0,0.0,6.0,3.5,7.0,4.333333333333333,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://hiroba.dqx.jp.isrel.usa.cc/account/app/svc/login.html...
19.0,1.0,0.0,0.0,1.0,0.0,18.0,2.0,0.0,0.0,15.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://resumeresources.ca/
30.0,1.0,0.0,0.0,12.0,1.0,8.0,2.0,1.0,0.0,5.0,3.5,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://camec.ru/wp-content/googledocs
50.0,7.0,1.0,2.0,1.0,0.0,46.0,5.0,0.0,0.0,20.0,8.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://notification-account.com.smk-diponegoro.sch.id/...
66.0,5.0,0.0,0.0,45.0,3.0,18.0,3.0,3.0,0.0,11.0,5.333333333333333,32.0,13.666666666666666,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.roadrunners.pl/media/auth/df8207c6ca6b56bf1722993f66864b08/...
58.0,5.0,0.0,0.0,33.0,4.0,14.0,2.0,4.0,0.0,11.0,6.5,8.0,7.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://customprint.in/catalog/language/spanish/module/sign.htm...
25.0,2.0,0.0,0.0,5.0,1.0,20.0,3.0,1.0,0.0,12.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.numbertheory.org/ntw/
60.0,6.0,0.0,0.0,34.0,4.0,14.0,3.0,4.0,0.0,6.0,4.0,12.0,7.25,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...
21.0,2.0,0.0,0.0,1.0,0.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.balicrafters.com/
66.0,5.0,0.0,1.0,46.0,5.0,15.0,3.0,5.0,0.0,8.0,4.333333333333333,11.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.van-sant.si/components/com_akeeba/controllers/drive/auth/vi...
66.0,6.0,1.0,0.0,28.0,3.0,25.0,4.0,3.0,0.0,14.0,5.5,10.0,8.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...
66.0,5.0,1.0,0.0,14.0,2.0,18.0,2.0,2.0,0.0,14.0,8.5,6.0,5.5,0.0,9.0,1.0,0.0,25.0,1.0,22.0,2.0,-1.0,-1.0,-1.0,-1.0,1,http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...
50.0,7.0,1.0,0.0,5.0,1.0,32.0,4.0,1.0,0.0,21.0,7.25,3.0,3.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.rockdaledrivingschool.com.au/BOA/Signin.htm...
37.0,3.0,0.0,0.0,12.0,2.0,15.0,3.0,2.0,0.0,7.0,4.333333333333333,5.0,4.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.ametsoc.org/pubs/books/index.html
25.0,1.0,0.0,0.0,15.0,1.0,10.0,2.0,1.0,0.0,6.0,4.5,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://hymesh.net/listfinancial/
66.0,7.0,0.0,1.0,20.0,3.0,14.0,2.0,3.0,0.0,10.0,6.5,8.0,5.333333333333333,0.0,15.0,2.0,0.0,17.0,1.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...
17.0,1.0,0.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://bmwusfactory.com/
66.0,4.0,0.0,0.0,48.0,6.0,12.0,2.0,6.0,0.0,8.0,5.5,17.0,6.833333333333333,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://gosgmart.com/image/catalog/demo/product/-/direction-general/red...
16.0,2.0,0.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,7.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.xbridge.com/
65.0,4.0,0.0,0.0,14.0,2.0,16.0,2.0,2.0,0.0,12.0,7.5,7.0,5.5,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb...
66.0,4.0,0.0,1.0,42.0,3.0,19.0,2.0,3.0,0.0,16.0,9.0,18.0,12.666666666666666,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://agricole-service.fr/particuliers/security/g2e36g_information/up...
23.0,3.0,0.0,1.0,1.0,0.0,22.0,4.0,0.0,0.0,12.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.picture-disc.co.uk/
24.0,1.0,0.0,0.0,4.0,1.0,20.0,2.0,1.0,0.0,16.0,9.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://cutsnakecatering.com/oh/
66.0,7.0,0.0,0.0,4.0,1.0,40.0,5.0,1.0,0.0,13.0,7.2,2.0,2.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...
54.0,5.0,0.0,0.0,26.0,4.0,16.0,2.0,4.0,0.0,13.0,7.5,11.0,5.25,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://empiredesigns.ph/wp-includes/js/jcrop/aol/index.htm...
19.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,10.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.puddinhill.com/
31.0,4.0,1.0,0.0,1.0,0.0,30.0,5.0,0.0,0.0,9.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://secure.square.loginzdqx.usa.cc/
25.0,2.0,0.0,0.0,1.0,0.0,24.0,3.0,0.0,0.0,16.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.bimbobakeriesusa.com/
66.0,6.0,1.0,0.0,24.0,2.0,28.0,3.0,2.0,0.0,20.0,8.666666666666666,12.0,10.5,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.mamaefotografaexpert.com/~fezna329/seguroautoBB/login.do256...
23.0,2.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,14.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.bluedogzdesign.com/
26.0,3.0,0.0,0.0,5.0,1.0,21.0,4.0,1.0,0.0,8.0,4.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.genoptim.narod.ru/ENG/
66.0,6.0,0.0,0.0,8.0,2.0,23.0,4.0,2.0,0.0,12.0,5.0,3.0,2.5,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...
20.0,2.0,0.0,0.0,1.0,0.0,19.0,3.0,0.0,0.0,11.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.physicspost.com/
66.0,5.0,0.0,0.0,38.0,5.0,21.0,3.0,5.0,0.0,14.0,6.333333333333333,10.0,6.4,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/norm...
33.0,2.0,0.0,0.0,14.0,2.0,19.0,3.0,2.0,0.0,12.0,5.666666666666667,9.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://smp2wonosari.sch.id/elearning/ch/
63.0,5.0,0.0,0.0,9.0,1.0,19.0,3.0,1.0,0.0,11.0,5.666666666666667,7.0,7.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://web.kiaanevents.com/pagedoc/fea2120b4a8d260c09aefc63bf36941d...
31.0,2.0,0.0,0.0,1.0,0.0,30.0,3.0,0.0,0.0,22.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,https://www.googlemerchandisestore.com/
33.0,2.0,0.0,0.0,10.0,1.0,10.0,2.0,1.0,0.0,6.0,4.5,8.0,8.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://koausa.org/Proverbs/proverbs.html
27.0,5.0,0.0,0.0,1.0,0.0,26.0,6.0,0.0,0.0,6.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://hiroba.dqx.jp.zicrl.usa.cc/
63.0,5.0,0.0,0.0,9.0,1.0,19.0,3.0,1.0,0.0,11.0,5.666666666666667,7.0,7.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://web.kiaanevents.com/pagedoc/f69c6e98fb234fcaa7a139de2d3e9352...
20.0,2.0,0.0,0.0,7.0,1.0,13.0,3.0,1.0,0.0,5.0,3.6666666666666665,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.syvum.com/kmsl1/
15.0,2.0,0.0,0.0,1.0,0.0,14.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.ouidad.com/
39.0,2.0,0.0,0.0,21.0,2.0,18.0,3.0,2.0,0.0,8.0,5.333333333333333,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://plato.stanford.edu/entries/sovereignty/
18.0,2.0,0.0,0.0,1.0,0.0,17.0,3.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.farleaves.com/
64.0,5.0,0.0,2.0,34.0,5.0,23.0,3.0,5.0,0.0,13.0,7.0,9.0,5.6,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://paypal.com-country-x.de/webapps/552199771/id/obj/proceed/form...
23.0,2.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,14.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.mathisfunforum.com/
46.0,6.0,0.0,1.0,14.0,2.0,20.0,2.0,2.0,0.0,16.0,9.5,6.0,5.5,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://spacebuilders-lb.com/baddo/G.Docs/index.php...
19.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,10.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.netmedicos.com/
66.0,4.0,0.0,0.0,11.0,2.0,21.0,2.0,2.0,0.0,11.0,10.0,4.0,4.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://bookkeepers.directory/mama/mama/0af42c585cba168c6ca0b08403443d2...
22.0,2.0,0.0,0.0,5.0,1.0,8.0,2.0,1.0,0.0,5.0,3.5,3.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://anwia.pl/aol/index.htm
66.0,5.0,0.0,0.0,36.0,6.0,25.0,3.0,6.0,0.0,17.0,7.666666666666667,9.0,4.833333333333333,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.tablettamiriizmir.com/us/LOGlNlD/Iogon/nav/auto_auth/lNT/si...
19.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,10.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.domyresume.com/
46.0,5.0,0.0,0.0,16.0,2.0,27.0,3.0,2.0,0.0,20.0,8.333333333333334,7.0,6.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://evangelistaadvogados.com.br/newdrop/deiswe/...
40.0,3.0,0.0,0.0,1.0,0.0,21.0,3.0,0.0,0.0,14.0,6.333333333333333,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.softwareburner.de/softwareburner.htm
46.0,5.0,0.0,0.0,30.0,4.0,13.0,3.0,4.0,0.0,7.0,3.6666666666666665,14.0,6.25,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://ganiinc.co.za/abdominsubommc/drop/wdd/date/...
13.0,2.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,4.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.fftw.org/
31.0,2.0,0.0,0.0,1.0,0.0,30.0,3.0,0.0,0.0,22.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.whispersinthecorridors.com/
66.0,4.0,0.0,0.0,23.0,3.0,15.0,2.0,3.0,0.0,12.0,7.0,10.0,6.333333333333333,0.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://kenderaztato.hu/wp-content/plugins/wp/olbtxz-Authentication-Sig...
27.0,2.0,0.0,0.0,14.0,2.0,13.0,3.0,2.0,0.0,5.0,3.6666666666666665,7.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://ns4.pvtns.com/nama/dropbox/
18.0,2.0,0.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,7.0,4.333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.gyrogeo.com/n4
